word,unified_rank,moe_level,ngsl_rank
bottle,1191,1,0
bottom,1192,1,1796
bow,1193,1,0
bowl,1194,1,0
bowling,1195,1,0
boy,1196,1,1393
brain,1197,1,2386
branch,1198,1,2200
brave,1199,1,0
bread,1200,1,0
break,1201,1,1618
breakfast,1202,1,2237
breast,1203,1,2012
breath,1204,1,0
brick,1205,1,0
bridge,1206,1,2289
bright,1207,1,0
bring,1208,1,1425
britain,1209,1,0
broad,1210,1,0
broadcast,1211,1,0
brother,1212,1,2348
brown,1213,1,1268
brush,1214,1,0
bug,1215,1,2043
build,1216,1,1048
bundle,1217,1,0
burn,1218,1,0
burst,1219,1,0
bus,1220,1,1982
busy,1221,1,0
butter,1222,1,0
butterfly,1223,1,0
button,1224,1,1205
cabinet,1225,1,0
cable,1226,1,1143
cafe,1227,1,0
cage,1228,1,0
cake,1229,1,0
calm,1230,1,0
camel,1231,1,0
camp,1232,1,2283
campus,1233,1,1722
canal,1234,1,0
cancel,1235,1,0
cancer,1236,1,1244
candle,1237,1,0
candy,1238,1,0
canyon,1239,1,0
cap,1240,1,0
cape,1241,1,2761
captain,1242,1,0
career,1243,1,1125
careful,1244,1,0
carpet,1245,1,0
carry,1246,1,2412
cartoon,1247,1,0
cash,1248,1,1023
castle,1249,1,0
cat,1250,1,1760
catch,1251,1,0
cause,1252,1,1223
ceiling,1253,1,0
celebrate,1254,1,0
cent,1255,1,2572
century,1256,1,1505
certain,1257,1,1100
certainly,1258,1,2894
chair,1259,1,1990
chance,1260,1,1885
channel,1261,1,1193
character,1262,1,1586
charge,1263,1,1453
chart,1264,1,2299
chase,1265,1,0
cheat,1266,1,0
cheese,1267,1,0
chemical,1268,1,2033
cherry,1269,1,0
chess,1270,1,0
chicken,1271,1,0
chief,1272,1,1793
childhood,1273,1,0
chinese,1274,1,1470
chocolate,1275,1,0
choice,1276,1,1178
christmas,1277,1,1170
chubby,1278,1,0
circle,1279,1,0
citizen,1280,1,0
claim,1281,1,2022
classic,1282,1,1360
classical,1283,1,2367
classroom,1284,1,0
clean,1285,1,1809
clerk,1286,1,0
climate,1287,1,0
climb,1288,1,0
clock,1289,1,2929
clothes,1290,1,2888
cloudy,1291,1,0
coach,1292,1,0
coast,1293,1,1726
coat,1294,1,0
coffee,1295,1,1942
coin,1296,1,0
cold,1297,1,1986
collapse,1298,1,0
colleague,1299,1,0
collect,1300,1,0
comfortable,1301,1,0
comic,1302,1,0
command,1303,1,1362
compile,1304,1,0
concept,1305,1,2511
concern,1306,1,0
confident,1307,1,0
confirm,1308,1,0
consider,1309,1,1528
consist,1310,1,0
constitute,1311,1,0
contain,1312,1,2700
context,1313,1,2002
continue,1314,1,1056
contract,1315,1,1204
contrary,1316,1,0
convenience,1317,1,0
convenient,1318,1,0
conversation,1319,1,0
cook,1320,1,0
cookie,1321,1,0
cool,1322,1,1457
copy,1323,1,1016
corn,1324,1,0
corner,1325,1,2218
correct,1326,1,1847
cotton,1327,1,0
count,1328,1,2011
couple,1329,1,1883
courage,1330,1,0
cow,1331,1,0
crazy,1332,1,0
cream,1333,1,2990
crime,1334,1,2010
crisis,1335,1,0
criticism,1336,1,0
crop,1337,1,0
cross,1338,1,1083
crowd,1339,1,0
cry,1340,1,0
cumulative,1341,1,0
cup,1342,1,1822
cure,1343,1,0
curious,1344,1,0
curve,1345,1,0
custom,1346,1,1212
cut,1347,1,1324
cute,1348,1,0
dad,1349,1,0
damage,1350,1,2266
dance,1351,1,1622
danger,1352,1,0
dangerous,1353,1,0
dark,1354,1,1640
daughter,1355,1,2832
dawn,1356,1,0
dead,1357,1,1700
deaf,1358,1,0
deal,1359,1,1274
dear,1360,1,0
debt,1361,1,1612
decide,1362,1,0
decision,1363,1,1128
decrease,1364,1,0
deep,1365,1,1543
deer,1366,1,0
define,1367,1,2233
degree,1368,1,1203
delay,1369,1,0
delicious,1370,1,0
deliver,1371,1,0
democracy,1372,1,0
democratic,1373,1,0
demonstrate,1374,1,0
dental,1375,1,0
deny,1376,1,0
depend,1377,1,0
describe,1378,1,0
desert,1379,1,0
desire,1380,1,0
desk,1381,1,2467
determine,1382,1,1914
develop,1383,1,1482
dial,1384,1,0
diamond,1385,1,2048
diary,1386,1,0
dictionary,1387,1,1985
die,1388,1,1763
diet,1389,1,1839
difference,1390,1,1845
difficult,1391,1,1928
difficulty,1392,1,0
dig,1393,1,0
dining,1394,1,2449
dinner,1395,1,2986
direction,1396,1,2372
dirty,1397,1,0
disable,1398,1,0
disaster,1399,1,0
discover,1400,1,2995
discuss,1401,1,1892
dish,1402,1,0
distance,1403,1,1368
distribute,1404,1,0
distributed,1405,1,2819
divide,1406,1,0
division,1407,1,1147
doctor,1408,1,2034
dodge,1409,1,0
dog,1410,1,1047
doll,1411,1,0
dollar,1412,1,2282
door,1413,1,1449
dot,1414,1,2930
double,1415,1,1046
doubt,1416,1,0
downtown,1417,1,0
dozen,1418,1,0
dragon,1419,1,0
drama,1420,1,0
draw,1421,1,0
dream,1422,1,2390
dress,1423,1,2868
drink,1424,1,2724
driver,1425,1,1698
drop,1426,1,2158
drug,1427,1,1018
drum,1428,1,0
dry,1429,1,2507
dryer,1430,1,0
duck,1431,1,0
dumb,1432,1,0
duty,1433,1,2487
eagle,1434,1,0
ear,1435,1,0
earn,1436,1,0
earth,1437,1,1333
easter,1438,1,0
eastern,1439,1,2098
eat,1440,1,2728
economy,1441,1,1779
edge,1442,1,1953
effect,1443,1,1071
effective,1444,1,1068
effort,1445,1,1992
egg,1446,1,0
eight,1447,1,2439
elder,1448,1,0
elect,1449,1,0
election,1450,1,2198
electric,1451,1,1693
